         1310224 function calls (1295341 primitive calls) in 2.278 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      262    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      396    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        9    0.000    0.000    0.225    0.025 __init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.066    0.066 __init__.py:101(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1020(<listcomp>)
        1    0.000    0.000    0.159    0.159 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
    13/11    0.000    0.000    0.021    0.002 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
       31    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.009    0.009 __init__.py:124(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1267(<dictcomp>)
       31    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.044    0.044 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
       19    0.000    0.000    0.000    0.000 __init__.py:1309(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1312(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       32    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:140(EventType)
       36    0.000    0.000    0.005    0.000 __init__.py:1459(_add_data_doc)
       72    0.001    0.000    0.010    0.000 __init__.py:1488(_preprocess_data)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        3    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
       13    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1662(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1668(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1679(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(CallWrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:1712(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1733(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1754(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:183(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
       33    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        8    0.000    0.000    0.001    0.000 __init__.py:1870(_define_aliases)
        1    0.000    0.000    0.003    0.003 __init__.py:188(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       72    0.000    0.000    0.001    0.000 __init__.py:1890(make_alias)
        1    0.000    0.000    0.002    0.002 __init__.py:192(<module>)
       31    0.000    0.000    0.001    0.000 __init__.py:1925(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
       17    0.000    0.000    0.001    0.000 __init__.py:1974(_warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:1996(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:1999(Tk)
        4    0.000    0.000    0.021    0.005 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2054(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:206(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       36    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2121(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:2160(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:2170(_classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2187(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2204(Grid)
       36    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2251(BaseWidget)
        1    0.000    0.000    0.000    0.000 __init__.py:23(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2313(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2320(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2348(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:236(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:2393(Canvas)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:242(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
       10    0.000    0.000    0.000    0.000 __init__.py:253(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2634(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2663(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
      106    0.000    0.000    0.001    0.000 __init__.py:272(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:2728(Frame)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:2746(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2768(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:2859(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:287(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:291(Variable)
